"script","path","exit_code","stdout","stderr"
"prepare_humanize_second_pass.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\prepare_humanize_second_pass.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\prepare_humanize_second_pass.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\prepare_humanize_second_pass.stderr.log"
"replay_humanize_long_fixture.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\replay_humanize_long_fixture.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\replay_humanize_long_fixture.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\replay_humanize_long_fixture.stderr.log"
"route_humanize_scene.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\route_humanize_scene.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\route_humanize_scene.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\route_humanize_scene.stderr.log"
"run_humanize_generation_trial.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\run_humanize_generation_trial.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\run_humanize_generation_trial.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\run_humanize_generation_trial.stderr.log"
"scan_humanize_chinese.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\scan_humanize_chinese.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\scan_humanize_chinese.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\scan_humanize_chinese.stderr.log"
"seal_humanize_public_fixture.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\seal_humanize_public_fixture.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\seal_humanize_public_fixture.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\seal_humanize_public_fixture.stderr.log"
"validate_humanize_candidate_queue.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\validate_humanize_candidate_queue.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\validate_humanize_candidate_queue.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\validate_humanize_candidate_queue.stderr.log"
"validate_humanize_output.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\validate_humanize_output.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\validate_humanize_output.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\validate_humanize_output.stderr.log"
"validate_humanize_voice_profile.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\validate_humanize_voice_profile.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\validate_humanize_voice_profile.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\validate_humanize_voice_profile.stderr.log"
"verify_humanize_second_pass.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\verify_humanize_second_pass.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\verify_humanize_second_pass.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-20260717-191016427\py_compile\verify_humanize_second_pass.stderr.log"
