"script","path","exit_code","stdout","stderr","stdout_bytes","stderr_bytes"
"prepare_humanize_second_pass.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\prepare_humanize_second_pass.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\prepare_humanize_second_pass.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\prepare_humanize_second_pass.stderr.log","347","0"
"replay_humanize_long_fixture.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\replay_humanize_long_fixture.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\replay_humanize_long_fixture.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\replay_humanize_long_fixture.stderr.log","423","0"
"route_humanize_scene.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\route_humanize_scene.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\route_humanize_scene.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\route_humanize_scene.stderr.log","536","0"
"run_humanize_generation_trial.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\run_humanize_generation_trial.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\run_humanize_generation_trial.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\run_humanize_generation_trial.stderr.log","699","0"
"scan_humanize_chinese.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\scan_humanize_chinese.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\scan_humanize_chinese.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\scan_humanize_chinese.stderr.log","1081","0"
"seal_humanize_public_fixture.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\seal_humanize_public_fixture.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\seal_humanize_public_fixture.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\seal_humanize_public_fixture.stderr.log","2358","0"
"validate_humanize_candidate_queue.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\validate_humanize_candidate_queue.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\validate_humanize_candidate_queue.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\validate_humanize_candidate_queue.stderr.log","1368","0"
"validate_humanize_output.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\validate_humanize_output.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\validate_humanize_output.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\validate_humanize_output.stderr.log","3106","0"
"validate_humanize_voice_profile.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\validate_humanize_voice_profile.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\validate_humanize_voice_profile.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\validate_humanize_voice_profile.stderr.log","1022","0"
"verify_humanize_second_pass.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\verify_humanize_second_pass.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\verify_humanize_second_pass.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\verify_humanize_second_pass.stderr.log","598","0"
