title,review_file,current_answers,verified_answers,changed
A Pioneering Woman of Science Re-Emerges after 300 Years,batch2_review.md,36:K 37:I 38:E 39:M 40:G 41:O 42:C 43:L 44:F 45:D,36:K 37:I 38:E 39:M 40:G 41:O 42:C 43:L 44:F 45:D,no
Do Parents Invade Children's Privacy When They Post Photos Online?,batch2_review.md,36:H 37:M 38:N 39:E 40:B 41:A 42:J 43:L 44:G 45:D,36:H 37:M 38:N 39:E 40:B 41:A 42:J 43:L 44:G 45:D,no
The Best Retailers Combine Bricks and Clicks,batch2_review.md,36:M 37:G 38:D 39:I 40:C 41:H 42:F 43:O 44:A 45:K,36:M 37:G 38:D 39:I 40:C 41:H 42:F 43:O 44:A 45:K,no
Companies Are Working with Consumers to Reduce Waste,batch2_review.md,36:F 37:C 38:M 39:E 40:G 41:N 42:H 43:B 44:J 45:D,36:F 37:C 38:M 39:E 40:G 41:N 42:H 43:B 44:J 45:D,no
The future of personal satellite technology is here-are we ready for it?,batch3_review.md,36:I 37:C 38:B 39:E 40:K 41:F 42:L 43:G 44:D 45:J,36:I 37:C 38:B 39:E 40:K 41:F 42:L 43:G 44:D 45:J,no
Why More Farmers Are Making The Switch to Grass-Fed Meat and Dairy,batch3_review.md,36:F 37:C 38:J 39:D 40:G 41:A 42:I 43:E 44:B 45:K,36:F 37:C 38:J 39:D 40:G 41:A 42:I 43:E 44:B 45:K,no
How Much Protein Do You Really Need?,batch3_review.md,36:C 37:E 38:A 39:F 40:M 41:G 42:B 43:H 44:D 45:L,36:C 37:E 38:A 39:F 40:M 41:G 42:B 43:H 44:D 45:L,no
Increased Screen Time and Wellbeing Decline in Youth,batch3_review.md,36:G 37:C 38:H 39:D 40:B 41:E 42:J 43:F 44:I 45:A,36:G 37:C 38:H 39:D 40:B 41:E 42:J 43:F 44:I 45:A,no
Six Potential Brain Benefits of Bilingual Education,batch3_review.md,36:H 37:C 38:J 39:D 40:M 41:E 42:B 43:P 44:G 45:N,36:H 37:C 38:J 39:D 40:M 41:E 42:B 43:P 44:G 45:N,no
How Telemedicine Is Transforming Healthcare,batch3_review.md,36:D 37:H 38:E 39:B 40:K 41:O 42:G 43:F 44:I 45:N,36:D 37:H 38:E 39:B 40:K 41:O 42:G 43:F 44:I 45:N,no
Why lifelong learning is the international passport to success,batch3_review.md,36:H 37:E 38:B 39:K 40:I 41:C 42:J 43:N 44:F 45:M,36:H 37:E 38:B 39:K 40:I 41:C 42:J 43:N 44:F 45:M,no
Slow Hope,batch3_review.md,36:E 37:I 38:C 39:K 40:D 41:G 42:A 43:F 44:I 45:B,36:E 37:I 38:C 39:K 40:D 41:G 42:A 43:F 44:I 45:B,no
The Challenges for Artificial Intelligence in Agriculture,batch3_review.md,36:D 37:L 38:E 39:N 40:F 41:Q 42:H 43:C 44:K 45:M,36:D 37:L 38:E 39:N 40:F 41:Q 42:H 43:C 44:K 45:M,no
What Are the Ethics of CGI Actors-And Will They Replace Real Ones?,batch3_review.md,36:G 37:C 38:J 39:A 40:F 41:L 42:B 43:H 44:E 45:I,36:G 37:C 38:J 39:A 40:F 41:L 42:B 43:H 44:E 45:I,no
France's beloved cathedral only minutes away from complete destruction,batch4_review.md,36:I 37:C 38:K 39:F 40:B 41:H 42:A 43:J 44:D 45:G,36:I 37:C 38:K 39:F 40:B 41:H 42:A 43:J 44:D 45:G,no
How Marconi Gave Us the Wireless World,batch4_review.md,36:F 37:I 38:D 39:J 40:C 41:E 42:K 43:G 44:B 45:H,36:F 37:I 38:D 39:J 40:C 41:E 42:K 43:G 44:B 45:H,no
Why facts don't change our minds,batch4_review.md,36:D 37:G 38:M 39:F 40:N 41:E 42:I 43:C 44:O 45:H,36:D 37:G 38:M 39:F 40:N 41:E 42:I 43:C 44:O 45:H,no
Do music lessons really make children smarter?,batch4_review.md,36:E 37:N 38:C 39:G 40:O 41:H 42:D 43:J 44:F 45:I,36:E 37:N 38:C 39:G 40:O 41:H 42:D 43:J 44:F 45:I,no
No one in fashion is surprised that Burberry burnt 28 million of stock,batch4_review.md,36:G 37:B 38:K 39:E 40:L 41:D 42:F 43:J 44:A 45:H,36:G 37:B 38:K 39:E 40:L 41:D 42:F 43:J 44:A 45:H,no
The Doctor Will Skype You Now,batch4_review.md,36:E 37:B 38:J 39:D 40:K 41:F 42:C 43:G 44:A 45:H,36:E 37:B 38:J 39:D 40:K 41:F 42:C 43:G 44:A 45:H,no
Saving Our Planet,batch4_review.md,36:F 37:B 38:H 39:D 40:K 41:C 42:G 43:A 44:J 45:E,36:F 37:B 38:H 39:D 40:K 41:C 42:G 43:A 44:J 45:E,no
Is computer coding a foreign language?,batch4_review.md,36:L 37:E 38:K 39:G 40:D 41:H 42:B 43:J 44:C 45:N,36:L 37:E 38:K 39:G 40:D 41:H 42:B 43:J 44:C 45:N,no
This man is running 7 marathons on 7 continents in 7 days,batch4_review.md,36:E 37:I 38:D 39:A 40:F 41:K 42:H 43:I 44:C 45:G,36:E 37:I 38:D 39:A 40:F 41:K 42:H 43:I 44:C 45:G,no
Fear of Nature: An Emerging Threat to Conservation,batch4_review.md,36:F 37:A 38:J 39:C 40:G 41:P 42:E 43:M 44:D 45:N,36:F 37:A 38:J 39:C 40:G 41:P 42:E 43:M 44:D 45:N,no
San Francisco Has Become One Huge Metaphor for Economic Inequality in America,batch5_review.md,36:E 37:J 38:B 39:G 40:D 41:M 42:H 43:C 44:K 45:F,36:E 37:J 38:B 39:G 40:D 41:M 42:H 43:C 44:K 45:F,no
The lifesaving power of gratitude,batch5_review.md,36:C 37:G 38:A 39:I 40:F 41:K 42:D 43:M 44:B 45:H,36:C 37:G 38:A 39:I 40:F 41:K 42:D 43:M 44:B 45:H,no
The problem with being perfect,batch5_review.md,36:E 37:A 38:F 39:C 40:H 41:B 42:I 43:E 44:K 45:G,36:E 37:A 38:F 39:C 40:H 41:B 42:I 43:E 44:K 45:G,no
African countries must get smarter with their agriculture,batch5_review.md,36:E 37:H 38:B 39:G 40:C 41:F 42:I 43:A 44:D 45:J,36:E 37:H 38:B 39:G 40:C 41:F 42:I 43:A 44:D 45:J,no
Treasure Fever,batch5_review.md,36:F 37:B 38:I 39:D 40:G 41:L 42:C 43:J 44:E 45:K,36:F 37:B 38:I 39:D 40:G 41:L 42:C 43:J 44:E 45:K,no
Why we need tiny colleges,batch5_review.md,36:G 37:D 38:J 39:H 40:B 41:I 42:C 43:L 44:E 45:N,36:G 37:D 38:J 39:H 40:B 41:I 42:C 43:L 44:E 45:N,no
"Classical music aims to evolve, build audiences without alienating old guard",batch5_review.md,36:E 37:L 38:A 39:M 40:D 41:H 42:B 43:O 44:K 45:N,36:E 37:L 38:A 39:M 40:D 41:H 42:B 43:O 44:K 45:N,no
Are Forgotten Crops the Future of Food?,batch5_review.md,36:F 37:C 38:G 39:J 40:H 41:O 42:D 43:I 44:E 45:K,36:F 37:C 38:G 39:J 40:H 41:O 42:D 43:I 44:E 45:K,no
What Is a Super Blood Wolf Moon?,batch5_review.md,36:E 37:K 38:G 39:B 40:H 41:M 42:F 43:N 44:D 45:J,36:E 37:K 38:G 39:B 40:H 41:M 42:F 43:N 44:D 45:J,no
The Free-Trade Paradox,batch5_review.md,36:G 37:C 38:I 39:D 40:M 41:J 42:E 43:H 44:A 45:L,36:G 37:C 38:I 39:D 40:M 41:J 42:E 43:H 44:A 45:L,no
The Benefits of Solitude,batch6_review.md,36:C 37:H 38:B 39:I 40:M 41:E 42:O 43:L 44:G 45:N,36:C 37:H 38:B 39:I 40:M 41:E 42:O 43:L 44:G 45:N,no
Why Your Library Is the Most Important Place in Town,batch6_review.md,36:G 37:C 38:I 39:D 40:A 41:L 42:F 43:H 44:B 45:K,36:G 37:C 38:I 39:D 40:A 41:L 42:F 43:H 44:B 45:K,no
"Yes, eating meat affects the environment, but cows are not killing the climate",batch6_review.md,36:E 37:K 38:H 39:A 40:I 41:M 42:D 43:L 44:C 45:J,36:E 37:K 38:H 39:A 40:I 41:M 42:D 43:L 44:C 45:J,no
Restaurants are now employing robots-should chefs be worried?,batch6_review.md,36:C 37:H 38:D 39:L 40:A 41:F 42:M 43:J 44:O 45:G,36:C 37:H 38:D 39:L 40:A 41:F 42:M 43:J 44:O 45:G,no
Do You Know When to Quit Wisely?,batch6_review.md,36:F 37:K 38:J 39:E 40:M 41:I 42:O 43:C 44:N 45:H,36:F 37:K 38:J 39:E 40:M 41:I 42:O 43:C 44:N 45:H,no
The History and Meaning of Colored Traffic Lights,batch6_review.md,36:Q 37:I 38:A 39:J 40:R 41:L 42:F 43:K 44:B 45:N,36:Q 37:I 38:A 39:J 40:R 41:L 42:F 43:K 44:B 45:N,no
The Curious Case of the Tree That Owns Itself,batch6_review.md,36:C 37:H 38:B 39:K 40:I 41:D 42:N 43:J 44:E 45:O,36:C 37:H 38:B 39:K 40:I 41:D 42:N 43:J 44:E 45:O,no
Blame your worthless workdays on meeting recovery syndrome,batch6_review.md,36:D 37:H 38:N 39:F 40:B 41:K 42:E 43:I 44:C 45:L,36:D 37:H 38:N 39:F 40:B 41:K 42:E 43:I 44:C 45:L,no
These are the habits to avoid if you want to make a behavior change,batch6_review.md,36:D 37:I 38:A 39:K 40:H 41:F 42:J 43:L 44:G 45:K,36:D 37:I 38:A 39:K 40:H 41:F 42:J 43:L 44:G 45:K,no
