file,title,question_number,answer_letter,paragraph_position_pct,paragraph_count,source_type
2016年6月英语六级真题(第1套).pdf,Can Societies Be Rich and Green?,38,L,76.67,15,manual
2016年6月英语六级真题(第1套).pdf,Can Societies Be Rich and Green?,39,D,23.33,15,manual
2016年6月英语六级真题(第1套).pdf,Can Societies Be Rich and Green?,40,K,70.0,15,manual
2016年6月英语六级真题(第1套).pdf,Can Societies Be Rich and Green?,41,E,30.0,15,manual
2016年6月英语六级真题(第1套).pdf,Can Societies Be Rich and Green?,42,G,43.33,15,manual
2016年6月英语六级真题(第1套).pdf,Can Societies Be Rich and Green?,43,A,3.33,15,manual
2016年6月英语六级真题(第1套).pdf,Can Societies Be Rich and Green?,44,N,90.0,15,manual
2016年6月英语六级真题(第1套).pdf,Can Societies Be Rich and Green?,45,J,63.33,15,manual
2016年6月英语六级真题(第2套).pdf,Reform and Medical Costs,36,F,32.35,17,manual
2016年6月英语六级真题(第2套).pdf,Reform and Medical Costs,37,J,55.88,17,manual
2016年6月英语六级真题(第2套).pdf,Reform and Medical Costs,38,A,2.94,17,manual
2016年6月英语六级真题(第2套).pdf,Reform and Medical Costs,39,G,38.24,17,manual
2016年6月英语六级真题(第2套).pdf,Reform and Medical Costs,40,L,67.65,17,manual
2016年6月英语六级真题(第2套).pdf,Reform and Medical Costs,41,H,44.12,17,manual
2016年6月英语六级真题(第2套).pdf,Reform and Medical Costs,42,C,14.71,17,manual
2016年6月英语六级真题(第2套).pdf,Reform and Medical Costs,43,I,50.0,17,manual
2016年6月英语六级真题(第2套).pdf,Reform and Medical Costs,44,P,91.18,17,manual
2016年6月英语六级真题(第2套).pdf,Reform and Medical Costs,45,K,61.76,17,manual
2016年6月英语六级真题(第3套).pdf,The Changing Generation,36,I,70.83,12,manual
2016年6月英语六级真题(第3套).pdf,The Changing Generation,37,B,12.5,12,manual
2016年6月英语六级真题(第3套).pdf,The Changing Generation,38,F,45.83,12,manual
2016年6月英语六级真题(第3套).pdf,The Changing Generation,39,D,29.17,12,manual
2016年6月英语六级真题(第3套).pdf,The Changing Generation,40,C,20.83,12,manual
2016年6月英语六级真题(第3套).pdf,The Changing Generation,41,K,87.5,12,manual
2016年6月英语六级真题(第3套).pdf,The Changing Generation,42,A,4.17,12,manual
2016年6月英语六级真题(第3套).pdf,The Changing Generation,43,L,95.83,12,manual
2016年6月英语六级真题(第3套).pdf,The Changing Generation,44,E,37.5,12,manual
2016年6月英语六级真题(第3套).pdf,The Changing Generation,45,J,79.17,12,manual
2017年12月英语六级真题(第1套).pdf,Who's Really Addicting You to Technology?,36,E,30.0,15,manual
2017年12月英语六级真题(第1套).pdf,Who's Really Addicting You to Technology?,37,L,76.67,15,manual
2017年12月英语六级真题(第1套).pdf,Who's Really Addicting You to Technology?,38,I,56.67,15,manual
2017年12月英语六级真题(第1套).pdf,Who's Really Addicting You to Technology?,39,O,96.67,15,manual
2017年12月英语六级真题(第1套).pdf,Who's Really Addicting You to Technology?,40,B,10.0,15,manual
2017年12月英语六级真题(第1套).pdf,Who's Really Addicting You to Technology?,41,J,63.33,15,manual
2017年12月英语六级真题(第1套).pdf,Who's Really Addicting You to Technology?,42,F,36.67,15,manual
2017年12月英语六级真题(第1套).pdf,Who's Really Addicting You to Technology?,43,D,23.33,15,manual
2017年12月英语六级真题(第1套).pdf,Who's Really Addicting You to Technology?,44,L,76.67,15,manual
2017年12月英语六级真题(第1套).pdf,Who's Really Addicting You to Technology?,45,G,43.33,15,manual
2017年12月英语六级真题(第2套).pdf,Data sharing: An open mind on open data,36,M,78.12,16,manual
2017年12月英语六级真题(第2套).pdf,Data sharing: An open mind on open data,37,G,40.62,16,manual
2017年12月英语六级真题(第2套).pdf,Data sharing: An open mind on open data,38,D,21.88,16,manual
2017年12月英语六级真题(第2套).pdf,Data sharing: An open mind on open data,39,A,3.12,16,manual
2017年12月英语六级真题(第2套).pdf,Data sharing: An open mind on open data,40,P,96.88,16,manual
2017年12月英语六级真题(第2套).pdf,Data sharing: An open mind on open data,41,L,71.88,16,manual
2017年12月英语六级真题(第2套).pdf,Data sharing: An open mind on open data,42,B,9.38,16,manual
2017年12月英语六级真题(第2套).pdf,Data sharing: An open mind on open data,43,O,90.62,16,manual
2017年12月英语六级真题(第2套).pdf,Data sharing: An open mind on open data,44,I,53.12,16,manual
2017年12月英语六级真题(第2套).pdf,Data sharing: An open mind on open data,45,F,34.38,16,manual
2017年12月英语六级真题(第3套).pdf,Apple's Stance Highlights a More Confrontational Tech Industry,36,E,28.12,16,manual
2017年12月英语六级真题(第3套).pdf,Apple's Stance Highlights a More Confrontational Tech Industry,37,M,78.12,16,manual
2017年12月英语六级真题(第3套).pdf,Apple's Stance Highlights a More Confrontational Tech Industry,38,C,15.62,16,manual
2017年12月英语六级真题(第3套).pdf,Apple's Stance Highlights a More Confrontational Tech Industry,39,H,46.88,16,manual
2017年12月英语六级真题(第3套).pdf,Apple's Stance Highlights a More Confrontational Tech Industry,40,B,9.38,16,manual
2017年12月英语六级真题(第3套).pdf,Apple's Stance Highlights a More Confrontational Tech Industry,41,J,59.38,16,manual
2017年12月英语六级真题(第3套).pdf,Apple's Stance Highlights a More Confrontational Tech Industry,42,G,40.62,16,manual
2017年12月英语六级真题(第3套).pdf,Apple's Stance Highlights a More Confrontational Tech Industry,43,P,96.88,16,manual
2017年12月英语六级真题(第3套).pdf,Apple's Stance Highlights a More Confrontational Tech Industry,44,I,53.12,16,manual
2017年12月英语六级真题(第3套).pdf,Apple's Stance Highlights a More Confrontational Tech Industry,45,D,21.88,16,manual
2017年6月英语六级真题(第1套).pdf,The Price of Oil and the Price of Carbon,36,D,23.33,15,manual
2017年6月英语六级真题(第1套).pdf,The Price of Oil and the Price of Carbon,37,L,76.67,15,manual
2017年6月英语六级真题(第1套).pdf,The Price of Oil and the Price of Carbon,38,J,63.33,15,manual
2017年6月英语六级真题(第1套).pdf,The Price of Oil and the Price of Carbon,39,E,30.0,15,manual
2017年6月英语六级真题(第1套).pdf,The Price of Oil and the Price of Carbon,40,H,50.0,15,manual
2017年6月英语六级真题(第1套).pdf,The Price of Oil and the Price of Carbon,41,A,3.33,15,manual
2017年6月英语六级真题(第1套).pdf,The Price of Oil and the Price of Carbon,42,G,43.33,15,manual
2017年6月英语六级真题(第1套).pdf,The Price of Oil and the Price of Carbon,43,F,36.67,15,manual
2017年6月英语六级真题(第1套).pdf,The Price of Oil and the Price of Carbon,44,O,96.67,15,manual
2017年6月英语六级真题(第1套).pdf,The Price of Oil and the Price of Carbon,45,B,10.0,15,manual
2017年6月英语六级真题(第2套).pdf,Elite Math Competitions Struggle to Diversify Their Talent Pool,36,F,36.67,15,manual
2017年6月英语六级真题(第2套).pdf,Elite Math Competitions Struggle to Diversify Their Talent Pool,37,A,3.33,15,manual
2017年6月英语六级真题(第2套).pdf,Elite Math Competitions Struggle to Diversify Their Talent Pool,38,I,56.67,15,manual
2017年6月英语六级真题(第2套).pdf,Elite Math Competitions Struggle to Diversify Their Talent Pool,39,G,43.33,15,manual
2017年6月英语六级真题(第2套).pdf,Elite Math Competitions Struggle to Diversify Their Talent Pool,40,L,76.67,15,manual
2017年6月英语六级真题(第2套).pdf,Elite Math Competitions Struggle to Diversify Their Talent Pool,41,E,30.0,15,manual
2017年6月英语六级真题(第2套).pdf,Elite Math Competitions Struggle to Diversify Their Talent Pool,42,J,63.33,15,manual
2017年6月英语六级真题(第2套).pdf,Elite Math Competitions Struggle to Diversify Their Talent Pool,43,B,10.0,15,manual
2017年6月英语六级真题(第2套).pdf,Elite Math Competitions Struggle to Diversify Their Talent Pool,44,M,83.33,15,manual
2017年6月英语六级真题(第2套).pdf,Elite Math Competitions Struggle to Diversify Their Talent Pool,45,H,50.0,15,manual
2017年6月英语六级真题(第3套).pdf,Rich Children and Poor Ones Are Raised Very Differently,36,G,38.24,17,manual
2017年6月英语六级真题(第3套).pdf,Rich Children and Poor Ones Are Raised Very Differently,37,F,32.35,17,manual
2017年6月英语六级真题(第3套).pdf,Rich Children and Poor Ones Are Raised Very Differently,38,M,73.53,17,manual
2017年6月英语六级真题(第3套).pdf,Rich Children and Poor Ones Are Raised Very Differently,39,D,20.59,17,manual
2017年6月英语六级真题(第3套).pdf,Rich Children and Poor Ones Are Raised Very Differently,40,G,38.24,17,manual
2017年6月英语六级真题(第3套).pdf,Rich Children and Poor Ones Are Raised Very Differently,41,O,85.29,17,manual
2017年6月英语六级真题(第3套).pdf,Rich Children and Poor Ones Are Raised Very Differently,42,K,61.76,17,manual
2017年6月英语六级真题(第3套).pdf,Rich Children and Poor Ones Are Raised Very Differently,43,H,44.12,17,manual
2017年6月英语六级真题(第3套).pdf,Rich Children and Poor Ones Are Raised Very Differently,44,B,8.82,17,manual
2017年6月英语六级真题(第3套).pdf,Rich Children and Poor Ones Are Raised Very Differently,45,P,91.18,17,manual
2018年12月英语六级真题(第1套).pdf,Do Parents Invade Children's Privacy When They Post Photos Online?,36,H,53.57,14,manual
2018年12月英语六级真题(第1套).pdf,Do Parents Invade Children's Privacy When They Post Photos Online?,37,M,89.29,14,manual
2018年12月英语六级真题(第1套).pdf,Do Parents Invade Children's Privacy When They Post Photos Online?,38,N,96.43,14,manual
2018年12月英语六级真题(第1套).pdf,Do Parents Invade Children's Privacy When They Post Photos Online?,39,E,32.14,14,manual
2018年12月英语六级真题(第1套).pdf,Do Parents Invade Children's Privacy When They Post Photos Online?,40,B,10.71,14,manual
2018年12月英语六级真题(第1套).pdf,Do Parents Invade Children's Privacy When They Post Photos Online?,41,A,3.57,14,manual
2018年12月英语六级真题(第1套).pdf,Do Parents Invade Children's Privacy When They Post Photos Online?,42,J,67.86,14,manual
2018年12月英语六级真题(第1套).pdf,Do Parents Invade Children's Privacy When They Post Photos Online?,43,L,82.14,14,manual
2018年12月英语六级真题(第1套).pdf,Do Parents Invade Children's Privacy When They Post Photos Online?,44,G,46.43,14,manual
2018年12月英语六级真题(第1套).pdf,Do Parents Invade Children's Privacy When They Post Photos Online?,45,D,25.0,14,manual
2018年12月英语六级真题(第2套).pdf,A Pioneering Woman of Science Re-Emerges after 300 Years,36,K,65.62,16,manual
2018年12月英语六级真题(第2套).pdf,A Pioneering Woman of Science Re-Emerges after 300 Years,37,I,53.12,16,manual
2018年12月英语六级真题(第2套).pdf,A Pioneering Woman of Science Re-Emerges after 300 Years,38,E,28.12,16,manual
2018年12月英语六级真题(第2套).pdf,A Pioneering Woman of Science Re-Emerges after 300 Years,39,M,78.12,16,manual
2018年12月英语六级真题(第2套).pdf,A Pioneering Woman of Science Re-Emerges after 300 Years,40,G,40.62,16,manual
2018年12月英语六级真题(第2套).pdf,A Pioneering Woman of Science Re-Emerges after 300 Years,41,O,90.62,16,manual
2018年12月英语六级真题(第2套).pdf,A Pioneering Woman of Science Re-Emerges after 300 Years,42,C,15.62,16,manual
2018年12月英语六级真题(第2套).pdf,A Pioneering Woman of Science Re-Emerges after 300 Years,43,L,71.88,16,manual
2018年12月英语六级真题(第2套).pdf,A Pioneering Woman of Science Re-Emerges after 300 Years,44,F,34.38,16,manual
2018年12月英语六级真题(第2套).pdf,A Pioneering Woman of Science Re-Emerges after 300 Years,45,D,21.88,16,manual
2018年12月英语六级真题(第3套).pdf,"Resilience Is About How You Recharge, Not How You Endure",36,D,26.92,13,manual
2018年12月英语六级真题(第3套).pdf,"Resilience Is About How You Recharge, Not How You Endure",37,J,73.08,13,manual
2018年12月英语六级真题(第3套).pdf,"Resilience Is About How You Recharge, Not How You Endure",38,L,88.46,13,manual
2018年12月英语六级真题(第3套).pdf,"Resilience Is About How You Recharge, Not How You Endure",39,A,3.85,13,manual
2018年12月英语六级真题(第3套).pdf,"Resilience Is About How You Recharge, Not How You Endure",40,E,34.62,13,manual
2018年12月英语六级真题(第3套).pdf,"Resilience Is About How You Recharge, Not How You Endure",41,K,80.77,13,manual
2018年12月英语六级真题(第3套).pdf,"Resilience Is About How You Recharge, Not How You Endure",42,I,65.38,13,manual
2018年12月英语六级真题(第3套).pdf,"Resilience Is About How You Recharge, Not How You Endure",43,B,11.54,13,manual
2018年12月英语六级真题(第3套).pdf,"Resilience Is About How You Recharge, Not How You Endure",44,G,50.0,13,manual
2018年12月英语六级真题(第3套).pdf,"Resilience Is About How You Recharge, Not How You Endure",45,C,19.23,13,manual
2018年6月英语六级真题(第1套).pdf,Peer Pressure Has a Positive Side,36,H,62.5,12,manual
2018年6月英语六级真题(第1套).pdf,Peer Pressure Has a Positive Side,37,C,20.83,12,manual
2018年6月英语六级真题(第1套).pdf,Peer Pressure Has a Positive Side,38,L,95.83,12,manual
2018年6月英语六级真题(第1套).pdf,Peer Pressure Has a Positive Side,39,J,79.17,12,manual
2018年6月英语六级真题(第1套).pdf,Peer Pressure Has a Positive Side,40,G,54.17,12,manual
2018年6月英语六级真题(第1套).pdf,Peer Pressure Has a Positive Side,41,A,4.17,12,manual
2018年6月英语六级真题(第1套).pdf,Peer Pressure Has a Positive Side,42,I,70.83,12,manual
2018年6月英语六级真题(第1套).pdf,Peer Pressure Has a Positive Side,43,F,45.83,12,manual
2018年6月英语六级真题(第1套).pdf,Peer Pressure Has a Positive Side,44,K,87.5,12,manual
2018年6月英语六级真题(第1套).pdf,Peer Pressure Has a Positive Side,45,D,29.17,12,manual
2018年6月英语六级真题(第2套).pdf,Grow Plants Without Water,36,C,22.73,11,manual
2018年6月英语六级真题(第2套).pdf,Grow Plants Without Water,37,H,68.18,11,manual
2018年6月英语六级真题(第2套).pdf,Grow Plants Without Water,38,A,4.55,11,manual
2018年6月英语六级真题(第2套).pdf,Grow Plants Without Water,39,K,95.45,11,manual
2018年6月英语六级真题(第2套).pdf,Grow Plants Without Water,40,E,40.91,11,manual
2018年6月英语六级真题(第2套).pdf,Grow Plants Without Water,41,I,77.27,11,manual
2018年6月英语六级真题(第2套).pdf,Grow Plants Without Water,42,G,59.09,11,manual
2018年6月英语六级真题(第2套).pdf,Grow Plants Without Water,43,B,13.64,11,manual
2018年6月英语六级真题(第2套).pdf,Grow Plants Without Water,44,F,50.0,11,manual
2018年6月英语六级真题(第2套).pdf,Grow Plants Without Water,45,D,31.82,11,manual
2018年6月英语六级真题(第3套).pdf,"In the real world, nobody cares that you went to an Ivy League school",36,J,67.86,14,manual
2018年6月英语六级真题(第3套).pdf,"In the real world, nobody cares that you went to an Ivy League school",37,G,46.43,14,manual
2018年6月英语六级真题(第3套).pdf,"In the real world, nobody cares that you went to an Ivy League school",38,C,17.86,14,manual
2018年6月英语六级真题(第3套).pdf,"In the real world, nobody cares that you went to an Ivy League school",39,K,75.0,14,manual
2018年6月英语六级真题(第3套).pdf,"In the real world, nobody cares that you went to an Ivy League school",40,B,10.71,14,manual
2018年6月英语六级真题(第3套).pdf,"In the real world, nobody cares that you went to an Ivy League school",41,H,53.57,14,manual
2018年6月英语六级真题(第3套).pdf,"In the real world, nobody cares that you went to an Ivy League school",42,N,96.43,14,manual
2018年6月英语六级真题(第3套).pdf,"In the real world, nobody cares that you went to an Ivy League school",43,A,3.57,14,manual
2018年6月英语六级真题(第3套).pdf,"In the real world, nobody cares that you went to an Ivy League school",44,E,32.14,14,manual
2018年6月英语六级真题(第3套).pdf,"In the real world, nobody cares that you went to an Ivy League school",45,I,60.71,14,manual
2019年12月英语六级真题(第1套).pdf,Increased Screen Time and Wellbeing Decline in Youth,36,G,65.0,10,manual
2019年12月英语六级真题(第1套).pdf,Increased Screen Time and Wellbeing Decline in Youth,37,C,25.0,10,manual
2019年12月英语六级真题(第1套).pdf,Increased Screen Time and Wellbeing Decline in Youth,38,H,75.0,10,manual
2019年12月英语六级真题(第1套).pdf,Increased Screen Time and Wellbeing Decline in Youth,39,D,35.0,10,manual
2019年12月英语六级真题(第1套).pdf,Increased Screen Time and Wellbeing Decline in Youth,40,B,15.0,10,manual
2019年12月英语六级真题(第1套).pdf,Increased Screen Time and Wellbeing Decline in Youth,41,E,45.0,10,manual
2019年12月英语六级真题(第1套).pdf,Increased Screen Time and Wellbeing Decline in Youth,42,J,95.0,10,manual
2019年12月英语六级真题(第1套).pdf,Increased Screen Time and Wellbeing Decline in Youth,43,F,55.0,10,manual
2019年12月英语六级真题(第1套).pdf,Increased Screen Time and Wellbeing Decline in Youth,44,I,85.0,10,manual
2019年12月英语六级真题(第1套).pdf,Increased Screen Time and Wellbeing Decline in Youth,45,A,5.0,10,manual
2019年12月英语六级真题(第2套).pdf,How Much Protein Do You Really Need?,36,C,17.86,14,manual
2019年12月英语六级真题(第2套).pdf,How Much Protein Do You Really Need?,37,E,32.14,14,manual
2019年12月英语六级真题(第2套).pdf,How Much Protein Do You Really Need?,38,A,3.57,14,manual
2019年12月英语六级真题(第2套).pdf,How Much Protein Do You Really Need?,39,F,39.29,14,manual
2019年12月英语六级真题(第2套).pdf,How Much Protein Do You Really Need?,40,M,89.29,14,manual
2019年12月英语六级真题(第2套).pdf,How Much Protein Do You Really Need?,41,G,46.43,14,manual
2019年12月英语六级真题(第2套).pdf,How Much Protein Do You Really Need?,42,B,10.71,14,manual
2019年12月英语六级真题(第2套).pdf,How Much Protein Do You Really Need?,43,H,53.57,14,manual
2019年12月英语六级真题(第2套).pdf,How Much Protein Do You Really Need?,44,D,25.0,14,manual
2019年12月英语六级真题(第2套).pdf,How Much Protein Do You Really Need?,45,L,82.14,14,manual
2019年12月英语六级真题(第3套).pdf,Why More Farmers Are Making The Switch to Grass-Fed Meat and Dairy,36,F,45.83,12,manual
2019年12月英语六级真题(第3套).pdf,Why More Farmers Are Making The Switch to Grass-Fed Meat and Dairy,37,C,20.83,12,manual
2019年12月英语六级真题(第3套).pdf,Why More Farmers Are Making The Switch to Grass-Fed Meat and Dairy,38,J,79.17,12,manual
2019年12月英语六级真题(第3套).pdf,Why More Farmers Are Making The Switch to Grass-Fed Meat and Dairy,39,D,29.17,12,manual
2019年12月英语六级真题(第3套).pdf,Why More Farmers Are Making The Switch to Grass-Fed Meat and Dairy,40,G,54.17,12,manual
2019年12月英语六级真题(第3套).pdf,Why More Farmers Are Making The Switch to Grass-Fed Meat and Dairy,41,A,4.17,12,manual
2019年12月英语六级真题(第3套).pdf,Why More Farmers Are Making The Switch to Grass-Fed Meat and Dairy,42,I,70.83,12,manual
2019年12月英语六级真题(第3套).pdf,Why More Farmers Are Making The Switch to Grass-Fed Meat and Dairy,43,E,37.5,12,manual
2019年12月英语六级真题(第3套).pdf,Why More Farmers Are Making The Switch to Grass-Fed Meat and Dairy,44,B,12.5,12,manual
2019年12月英语六级真题(第3套).pdf,Why More Farmers Are Making The Switch to Grass-Fed Meat and Dairy,45,K,87.5,12,manual
2019年6月英语六级真题(第1套).pdf,The Best Retailers Combine Bricks and Clicks,36,M,83.33,15,manual
2019年6月英语六级真题(第1套).pdf,The Best Retailers Combine Bricks and Clicks,37,G,43.33,15,manual
2019年6月英语六级真题(第1套).pdf,The Best Retailers Combine Bricks and Clicks,38,D,23.33,15,manual
2019年6月英语六级真题(第1套).pdf,The Best Retailers Combine Bricks and Clicks,39,I,56.67,15,manual
2019年6月英语六级真题(第1套).pdf,The Best Retailers Combine Bricks and Clicks,40,C,16.67,15,manual
2019年6月英语六级真题(第1套).pdf,The Best Retailers Combine Bricks and Clicks,41,H,50.0,15,manual
2019年6月英语六级真题(第1套).pdf,The Best Retailers Combine Bricks and Clicks,42,F,36.67,15,manual
2019年6月英语六级真题(第1套).pdf,The Best Retailers Combine Bricks and Clicks,43,O,96.67,15,manual
2019年6月英语六级真题(第1套).pdf,The Best Retailers Combine Bricks and Clicks,44,A,3.33,15,manual
2019年6月英语六级真题(第1套).pdf,The Best Retailers Combine Bricks and Clicks,45,K,70.0,15,manual
2019年6月英语六级真题(第2套).pdf,Companies Are Working with Consumers to Reduce Waste,36,F,36.67,15,manual
2019年6月英语六级真题(第2套).pdf,Companies Are Working with Consumers to Reduce Waste,37,C,16.67,15,manual
2019年6月英语六级真题(第2套).pdf,Companies Are Working with Consumers to Reduce Waste,38,M,83.33,15,manual
2019年6月英语六级真题(第2套).pdf,Companies Are Working with Consumers to Reduce Waste,39,E,30.0,15,manual
2019年6月英语六级真题(第2套).pdf,Companies Are Working with Consumers to Reduce Waste,40,G,43.33,15,manual
2019年6月英语六级真题(第2套).pdf,Companies Are Working with Consumers to Reduce Waste,41,N,90.0,15,manual
2019年6月英语六级真题(第2套).pdf,Companies Are Working with Consumers to Reduce Waste,42,H,50.0,15,manual
2019年6月英语六级真题(第2套).pdf,Companies Are Working with Consumers to Reduce Waste,43,B,10.0,15,manual
2019年6月英语六级真题(第2套).pdf,Companies Are Working with Consumers to Reduce Waste,44,J,63.33,15,manual
2019年6月英语六级真题(第2套).pdf,Companies Are Working with Consumers to Reduce Waste,45,D,23.33,15,manual
2019年6月英语六级真题(第3套).pdf,The future of personal satellite technology is here-are we ready for it?,36,I,65.38,13,manual
2019年6月英语六级真题(第3套).pdf,The future of personal satellite technology is here-are we ready for it?,37,C,19.23,13,manual
2019年6月英语六级真题(第3套).pdf,The future of personal satellite technology is here-are we ready for it?,38,B,11.54,13,manual
2019年6月英语六级真题(第3套).pdf,The future of personal satellite technology is here-are we ready for it?,39,E,34.62,13,manual
2019年6月英语六级真题(第3套).pdf,The future of personal satellite technology is here-are we ready for it?,40,K,80.77,13,manual
2019年6月英语六级真题(第3套).pdf,The future of personal satellite technology is here-are we ready for it?,41,F,42.31,13,manual
2019年6月英语六级真题(第3套).pdf,The future of personal satellite technology is here-are we ready for it?,42,L,88.46,13,manual
2019年6月英语六级真题(第3套).pdf,The future of personal satellite technology is here-are we ready for it?,43,G,50.0,13,manual
2019年6月英语六级真题(第3套).pdf,The future of personal satellite technology is here-are we ready for it?,44,D,26.92,13,manual
2019年6月英语六级真题(第3套).pdf,The future of personal satellite technology is here-are we ready for it?,45,J,73.08,13,manual
2020年12月英语六级真题(第1套).pdf,The Challenges for Artificial Intelligence in Agriculture,36,D,19.44,18,manual
2020年12月英语六级真题(第1套).pdf,The Challenges for Artificial Intelligence in Agriculture,37,L,63.89,18,manual
2020年12月英语六级真题(第1套).pdf,The Challenges for Artificial Intelligence in Agriculture,38,E,25.0,18,manual
2020年12月英语六级真题(第1套).pdf,The Challenges for Artificial Intelligence in Agriculture,39,N,75.0,18,manual
2020年12月英语六级真题(第1套).pdf,The Challenges for Artificial Intelligence in Agriculture,40,F,30.56,18,manual
2020年12月英语六级真题(第1套).pdf,The Challenges for Artificial Intelligence in Agriculture,41,Q,91.67,18,manual
2020年12月英语六级真题(第1套).pdf,The Challenges for Artificial Intelligence in Agriculture,42,H,41.67,18,manual
2020年12月英语六级真题(第1套).pdf,The Challenges for Artificial Intelligence in Agriculture,43,C,13.89,18,manual
2020年12月英语六级真题(第1套).pdf,The Challenges for Artificial Intelligence in Agriculture,44,K,58.33,18,manual
2020年12月英语六级真题(第1套).pdf,The Challenges for Artificial Intelligence in Agriculture,45,M,69.44,18,manual
2020年12月英语六级真题(第2套).pdf,Slow Hope,36,E,40.91,11,manual
2020年12月英语六级真题(第2套).pdf,Slow Hope,37,I,77.27,11,manual
2020年12月英语六级真题(第2套).pdf,Slow Hope,38,C,22.73,11,manual
2020年12月英语六级真题(第2套).pdf,Slow Hope,39,K,95.45,11,manual
2020年12月英语六级真题(第2套).pdf,Slow Hope,40,D,31.82,11,manual
2020年12月英语六级真题(第2套).pdf,Slow Hope,41,G,59.09,11,manual
2020年12月英语六级真题(第2套).pdf,Slow Hope,42,A,4.55,11,manual
2020年12月英语六级真题(第2套).pdf,Slow Hope,43,F,50.0,11,manual
2020年12月英语六级真题(第2套).pdf,Slow Hope,44,I,77.27,11,manual
2020年12月英语六级真题(第2套).pdf,Slow Hope,45,B,13.64,11,manual
2020年12月英语六级真题(第3套).pdf,Why lifelong learning is the international passport to success,36,H,46.88,16,manual
2020年12月英语六级真题(第3套).pdf,Why lifelong learning is the international passport to success,37,E,28.12,16,manual
2020年12月英语六级真题(第3套).pdf,Why lifelong learning is the international passport to success,38,B,9.38,16,manual
2020年12月英语六级真题(第3套).pdf,Why lifelong learning is the international passport to success,39,K,65.62,16,manual
2020年12月英语六级真题(第3套).pdf,Why lifelong learning is the international passport to success,40,I,53.12,16,manual
2020年12月英语六级真题(第3套).pdf,Why lifelong learning is the international passport to success,41,C,15.62,16,manual
