idx,headword,ipa,start_line,end_line,breakdown_count,family_count,cognate_count,sense_count,bad_pos_count,sense_missing_phrase,sense_missing_example,junk_hits,ok_breakdown,ok_family,ok_sense,ok_per_sense,ok_no_junk,ok_all
34,introduce,ˌintrə'dju:s,1015,1027,1,1,3,3,0,0,0,,1,1,1,1,1,1
35,produce,prə'dju:s,1031,1049,1,1,4,5,0,0,0,,1,1,1,1,1,1
36,abominable,ə'bɔminəbl,1059,1068,1,1,3,2,0,0,0,,1,1,1,1,1,1
37,homage,'hɔmidʒ,1072,1081,1,1,3,2,0,0,0,,1,1,1,1,1,1
38,homicide,'hɔmisaid,1085,1094,1,1,3,2,0,0,0,,1,1,1,1,1,1
39,homicidal,ˌhɔmi'saidl,1098,1107,1,1,3,2,0,0,0,,1,1,1,1,1,1
40,Homo Sapiens,ˌhəuməu'seipiənz,1111,1117,1,1,3,1,0,0,0,,1,1,1,1,1,1
41,exhume,eks'hju:m,1121,1127,1,1,3,1,0,0,0,,1,1,1,1,1,1
42,exhumation,ˌekshju:'meiʃn,1131,1137,1,1,3,1,0,0,0,,1,1,1,1,1,1
43,humane,hju:'mein,1141,1150,1,1,3,2,0,0,0,,1,1,1,1,1,1
44,humanism,'hju:mənizəm,1154,1166,1,1,3,3,0,0,0,,1,1,1,1,1,1
45,humanist,'hju:mənist,1170,1179,1,1,3,2,0,0,0,,1,1,1,1,1,1
46,humanitarian,hju:ˌmæni'teəriən,1183,1192,1,1,3,2,0,0,0,,1,1,1,1,1,1
47,humanity,hju:'mænəti,1196,1208,1,1,3,3,0,0,0,,1,1,1,1,1,1
48,humanize,'hju:mənaiz,1212,1221,1,1,3,2,0,0,0,,1,1,1,1,1,1
49,humble,'hʌmbl,1225,1237,1,1,3,3,0,0,0,,1,1,1,1,1,1
50,humid,'hju:mid,1241,1247,1,1,3,1,0,0,0,,1,1,1,1,1,1
51,humidity,hju:'midəti,1251,1260,1,1,3,2,0,0,0,,1,1,1,1,1,1
52,humidify,hju:'midifai,1264,1270,1,1,3,1,0,0,0,,1,1,1,1,1,1
53,humiliate,hju:'milieit,1274,1283,1,1,3,2,0,0,0,,1,1,1,1,1,1
54,humiliation,hju:ˌmili'eiʃn,1287,1296,1,1,3,2,0,0,0,,1,1,1,1,1,1
55,humility,hju:'miləti,1300,1306,1,1,3,1,0,0,0,,1,1,1,1,1,1
56,humorist,'hju:mərist,1310,1316,1,1,3,1,0,0,0,,1,1,1,1,1,1
57,humorous,'hju:mərəs,1320,1326,1,1,3,1,0,0,0,,1,1,1,1,1,1
58,humus,'hju:məs,1330,1336,1,1,3,1,0,0,0,,1,1,1,1,1,1
59,posthumous,'pɔstjəməs,1340,1352,1,1,3,3,0,0,0,,1,1,1,1,1,1
60,subhuman,sʌb'hju:mən,1356,1365,1,1,3,2,0,0,0,,1,1,1,1,1,1
61,abstain,ab'stein,1379,1388,1,1,4,2,0,0,0,,1,1,1,1,1,1
62,attainment,e'teinmənt,1392,1401,1,1,3,2,0,0,0,,1,1,1,1,1,1
63,countenance,'kauntənəns,1405,1417,1,1,4,3,0,0,0,,1,1,1,1,1,1
64,malcontent,'mælkəntent,1421,1430,1,1,3,2,0,0,0,,1,1,1,1,1,1
65,pertain,pə'tein,1434,1446,1,1,3,3,0,0,0,,1,1,1,1,1,1
66,pertinacious,",pə:ti'neiʃəs",1450,1459,1,1,3,2,0,0,0,,1,1,1,1,1,1
67,retentive,ri'tentiv,1463,1472,1,1,4,2,0,0,0,,1,1,1,1,1,1
68,sustain,sə'stein,1476,1488,1,1,3,3,0,0,0,,1,1,1,1,1,1
69,tenable,'tenəbl,1492,1504,1,1,3,3,0,0,0,,1,1,1,1,1,1
70,container,kən'teinə(r),1508,1517,1,1,3,2,0,0,0,,1,1,1,1,1,1
71,content,'kɔntent,1521,1536,1,1,3,4,0,0,0,,1,1,1,1,1,1
72,continence,'kɔntinəns,1540,1549,1,1,3,2,0,0,0,,1,1,1,1,1,1
73,continental,",kɔnti'nentl",1553,1562,1,1,3,2,0,0,0,,1,1,1,1,1,1
74,continual,kən'tinjuəl,1566,1575,1,1,3,2,0,0,0,,1,1,1,1,1,1
75,continuance,kən'tinjuəns,1579,1591,1,1,3,3,0,0,0,,1,1,1,1,1,1
76,continuation,kəntinju'eiʃn,1595,1604,1,1,3,2,0,0,0,,1,1,1,1,1,1
77,continuity,",kɔnti'njuəti",1608,1617,1,1,3,2,0,0,0,,1,1,1,1,1,1
78,continuous,kən'tinjuəs,1621,1630,1,1,3,2,0,0,0,,1,1,1,1,1,1
79,detain,di'tein,1634,1643,1,1,3,2,0,0,0,,1,1,1,1,1,1
80,detainee,",di:tei'ni:",1647,1653,1,1,3,1,0,0,0,,1,1,1,1,1,1
81,detention,di'tenʃn,1657,1666,1,1,3,2,0,0,0,,1,1,1,1,1,1
82,entertain,",entə'tein",1670,1682,1,1,3,3,0,0,0,,1,1,1,1,1,1
83,entertainer,",entə'teinə(r)",1686,1695,1,1,3,2,0,0,0,,1,1,1,1,1,1
84,entertainment,",entə'teinmənt",1699,1711,1,1,3,3,0,0,0,,1,1,1,1,1,1
85,lieutenant,lef'tenənt,1715,1724,1,1,3,2,0,0,0,,1,1,1,1,1,1
86,maintain,mein'tein,1728,1743,1,1,3,4,0,0,0,,1,1,1,1,1,1
87,maintenance,'meintənəns,1747,1759,1,1,3,3,0,0,0,,1,1,1,1,1,1
88,obtain,əb'tein,1763,1772,1,1,3,2,0,0,0,,1,1,1,1,1,1
89,obtainable,əb'teinəbl,1776,1782,1,1,3,1,0,0,0,,1,1,1,1,1,1
90,retinue,'retinju:,1786,1792,1,1,3,1,0,0,0,,1,1,1,1,1,1
91,tenacious,tə'neiʃəs,1796,1808,1,1,3,3,0,0,0,,1,1,1,1,1,1
92,tenacity,tə'næsəti,1812,1821,1,1,3,2,0,0,0,,1,1,1,1,1,1
93,tenant,'tenənt,1825,1834,1,1,3,2,0,0,0,,1,1,1,1,1,1
94,tenancy,'tenənsi,1838,1847,1,1,3,2,0,0,0,,1,1,1,1,1,1
95,tenement,'tenəmənt,1851,1860,1,1,3,2,0,0,0,,1,1,1,1,1,1
96,tenet,'tenit,1864,1870,1,1,3,1,0,0,0,,1,1,1,1,1,1
97,tenor,'tenə(r),1874,1886,1,1,3,3,0,0,0,,1,1,1,1,1,1
98,tenure,'tenjuə(r),1890,1902,1,1,3,3,0,0,0,,1,1,1,1,1,1
99,untenable,ʌn'teinəbl,1906,1915,1,1,3,2,0,0,0,,1,1,1,1,1,1
100,abnormal,æb'nɔ:məl,1925,1934,1,1,3,2,0,0,0,,1,1,1,1,1,1
101,enormous,i'nɔ:məs,1938,1947,1,1,3,2,0,0,0,,1,1,1,1,1,1
102,enormity,i'nɔ:məti,1951,1960,1,1,3,2,0,0,0,,1,1,1,1,1,1
103,norm,nɔ:m,1964,1973,1,1,3,2,0,0,0,,1,1,1,1,1,1
104,normal,'nɔ:məl,1977,1989,1,1,3,3,0,0,0,,1,1,1,1,1,1
105,normalize,'nɔ:məlaiz,1993,2002,1,1,3,2,0,0,0,,1,1,1,1,1,1
106,normative,'nɔ:mətiv,2006,2015,1,1,3,2,0,0,0,,1,1,1,1,1,1
107,subnormal,",sʌb'nɔ:məl",2019,2028,1,1,3,2,0,0,0,,1,1,1,1,1,1
108,abound,[ə'baʊnd],2038,2047,1,1,3,2,0,0,0,,1,1,1,1,1,1
109,inundate,['inʌndeit],2051,2060,1,1,3,2,0,0,0,,1,1,1,1,1,1
110,redundant,[ri'dʌndənt],2064,2073,1,1,3,2,0,0,0,,1,1,1,1,1,1
111,undulate,['ʌndjuleit],2077,2086,1,1,3,2,0,0,0,,1,1,1,1,1,1
112,undulation,"[,ʌndju'leiʃn]",2090,2099,1,1,3,2,0,0,0,,1,1,1,1,1,1
113,abdicate,'æbdikeit,2109,2118,1,1,3,2,0,0,0,,1,1,1,1,1,1
114,edict,'i:dikt,2122,2131,1,1,3,2,0,0,0,,1,1,1,1,1,1
115,indictment,in'daitmənt,2135,2147,1,1,3,3,0,0,0,,1,1,1,1,1,1
116,vindicate,'vindikeit,2151,2160,1,1,3,2,0,0,0,,1,1,1,1,1,1
117,jurisdiction,ˌdʒuəris'dikʃən,2164,2176,1,1,3,3,0,0,0,,1,1,1,1,1,1
118,predicament,pri'dikəmənt,2180,2186,1,1,3,1,0,0,0,,1,1,1,1,1,1
119,malediction,ˌmæli'dikʃən,2190,2196,1,1,3,1,0,0,0,,1,1,1,1,1,1
120,indicative,in'dikətiv,2200,2209,1,1,3,2,0,0,0,,1,1,1,1,1,1
121,addict,'ædikt,2213,2222,1,1,5,2,0,0,0,,1,1,1,1,1,1
122,benediction,ˌbeni'dikʃən,2226,2235,1,1,3,2,0,0,0,,1,1,1,1,1,1
123,contradict,ˌkɔntrə'dikt,2239,2248,1,1,3,2,0,0,0,,1,1,1,1,1,1
124,contradiction,ˌkɔntrə'dikʃən,2252,2261,1,1,3,2,0,0,0,,1,1,1,1,1,1
125,contradictory,ˌkɔntrə'diktəri,2265,2271,1,1,3,1,0,0,0,,1,1,1,1,1,1
126,dedicate,'dedikeit,2275,2284,1,1,4,2,0,0,0,,1,1,1,1,1,1
127,diction,'dikʃən,2288,2294,1,1,3,1,0,0,0,,1,1,1,1,1,1
128,dictate,dik'teit,2298,2309,1,1,4,2,0,0,0,,1,1,1,1,1,1
129,dictation,dik'teiʃən,2313,2322,1,1,3,2,0,0,0,,1,1,1,1,1,1
130,dictator,dik'teitə(r),2326,2332,1,1,3,1,0,0,0,,1,1,1,1,1,1
131,dictatorial,ˌdiktei'tɔ:riəl,2336,2345,1,1,3,2,0,0,0,,1,1,1,1,1,1
132,dictatorship,dik'teitəʃip,2349,2355,1,1,3,1,0,0,0,,1,1,1,1,1,1
133,dictum,'diktəm,2359,2368,1,1,3,2,0,0,0,,1,1,1,1,1,1
134,interdict,ˌintə'dikt,2372,2381,1,1,3,2,0,0,0,,1,1,1,1,1,1
135,predicate,'predikət,2385,2394,1,1,4,2,0,0,0,,1,1,1,1,1,1
136,predicatory,pri'dikətəri,2398,2404,1,1,3,1,0,0,0,,1,1,1,1,1,1
137,predict,pri'dikt,2408,2414,1,1,3,1,0,0,0,,1,1,1,1,1,1
138,prediction,pri'dikʃən,2418,2424,1,1,3,1,0,0,0,,1,1,1,1,1,1
139,predictable,pri'diktəbl,2428,2434,1,1,3,1,0,0,0,,1,1,1,1,1,1
140,syndicate,'sindikət,2438,2447,1,1,3,2,0,0,0,,1,1,1,1,1,1
141,valediction,ˌvæli'dikʃən,2451,2457,1,1,3,1,0,0,0,,1,1,1,1,1,1
142,valedictory,ˌvæli'diktəri,2461,2467,1,1,3,1,0,0,0,,1,1,1,1,1,1
143,valedictorian,ˌvæliˌdik'tɔ:riən,2471,2477,1,1,3,1,0,0,0,,1,1,1,1,1,1
144,verdict,'və:dikt,2481,2490,1,1,3,2,0,0,0,,1,1,1,1,1,1
145,vindictive,vin'diktiv,2494,2500,1,1,3,1,0,0,0,,1,1,1,1,1,1
146,abscond,əb'skɔnd,2510,2516,1,1,3,1,0,0,0,,1,1,1,1,1,1
147,recondite,'rekəndait,2520,2526,1,1,3,1,0,0,0,,1,1,1,1,1,1
148,avert,ə'və:t,2536,2545,1,1,3,2,0,0,0,,1,1,1,1,1,1
149,averse,ə'və:s,2549,2555,1,1,3,1,0,0,0,,1,1,1,1,1,1
150,adverse,'ædvə:s,2559,2568,1,1,3,2,0,0,0,,1,1,1,1,1,1
151,inadvertent,ˌinəd'və:tənt,2572,2578,1,1,3,1,0,0,0,,1,1,1,1,1,1
152,conversant,kən'və:sənt,2582,2588,1,1,3,1,0,0,0,,1,1,1,1,1,1
153,controversy,'kɔntrəvə:si,2592,2598,1,1,3,1,0,0,0,,1,1,1,1,1,1
154,diversity,dai'və:səti,2602,2608,1,1,3,1,0,0,0,,1,1,1,1,1,1
155,divert,dai'və:t,2612,2621,1,1,4,2,0,0,0,,1,1,1,1,1,1
156,perverse,pə'və:s,2625,2634,1,1,3,2,0,0,0,,1,1,1,1,1,1
157,revert,ri'və:t,2638,2647,1,1,3,2,0,0,0,,1,1,1,1,1,1
158,versatile,'və:sətail,2651,2659,1,1,3,1,0,0,0,,1,1,1,1,1,1
159,advert,əd'və:t,2663,2672,1,1,3,2,0,0,0,,1,1,1,1,1,1
160,advertising,'ædvətaiziŋ,2676,2685,1,1,3,2,0,0,0,,1,1,1,1,1,1
161,conversion,kən'və:ʃən,2689,2698,1,1,3,2,0,0,0,,1,1,1,1,1,1
162,convert,kən'və:t,2702,2713,1,1,4,2,0,0,0,,1,1,1,1,1,1
163,convertible,kən'və:təbl,2717,2726,1,1,3,2,0,0,0,,1,1,1,1,1,1
164,inverse,'invə:s,2730,2739,1,1,3,2,0,0,0,,1,1,1,1,1,1
165,invert,in'və:t,2743,2749,1,1,3,1,0,0,0,,1,1,1,1,1,1
166,inversion,in'və:ʃən,2753,2759,1,1,3,1,0,0,0,,1,1,1,1,1,1
167,introvert,'intrəvə:t,2763,2769,1,1,3,1,0,0,0,,1,1,1,1,1,1
168,obverse,'ɔbvə:s,2773,2782,1,1,3,2,0,0,0,,1,1,1,1,1,1
169,subvert,səb'və:t,2786,2792,1,1,3,1,0,0,0,,1,1,1,1,1,1
170,subversive,səb'və:siv,2796,2802,1,1,3,1,0,0,0,,1,1,1,1,1,1
171,tergiversate,tə:'dʒə:və:seit,2806,2812,1,1,3,1,0,0,0,,1,1,1,1,1,1
172,transverse,'trænzvə:s,2816,2825,1,1,3,2,0,0,0,,1,1,1,1,1,1
173,traverse,'trævə:s,2829,2844,1,1,3,4,0,0,0,,1,1,1,1,1,1
174,universal,ˌju:ni'və:sl,2848,2857,1,1,3,2,0,0,0,,1,1,1,1,1,1
175,versed,və:st,2861,2867,1,1,3,1,0,0,0,,1,1,1,1,1,1
176,version,'və:ʃən,2871,2883,1,1,3,3,0,0,0,,1,1,1,1,1,1
177,vertex,'və:teks,2887,2893,1,1,3,1,0,0,0,,1,1,1,1,1,1
178,vertical,'və:tikl,2897,2903,1,1,3,1,0,0,0,,1,1,1,1,1,1
179,vertigo,'və:tigəu,2907,2913,1,1,3,1,0,0,0,,1,1,1,1,1,1
180,vortex,'vɔ:teks,2917,2923,1,1,3,1,0,0,0,,1,1,1,1,1,1
181,abhor,əb'hɔ:(r),2933,2939,1,1,3,1,0,0,0,,1,1,1,1,1,1
182,horrible,'hɔrəbl,2943,2952,1,1,3,2,0,0,0,,1,1,1,1,1,1
183,horrid,'hɔrid,2956,2965,1,1,3,2,0,0,0,,1,1,1,1,1,1
184,horrific,hɔ'rifik,2969,2975,1,1,3,1,0,0,0,,1,1,1,1,1,1
185,horrify,'hɔrifai,2979,2988,1,1,3,2,0,0,0,,1,1,1,1,1,1
186,horror,'hɔrə(r),2992,3001,1,1,3,2,0,0,0,,1,1,1,1,1,1
187,aphorism,'æfərizəm,3005,3011,1,1,3,1,0,0,0,,1,1,1,1,1,1
188,horizon,hə'raizn,3015,3024,1,1,3,2,0,0,0,,1,1,1,1,1,1
189,horizontal,ˌhɔri'zɔntl,3028,3037,1,1,3,2,0,0,0,,1,1,1,1,1,1
190,horology,hɔ'rɔlədʒi,3041,3047,1,1,3,1,0,0,0,,1,1,1,1,1,1
191,horoscope,'hɔrəskəup,3051,3057,1,1,3,1,0,0,0,,1,1,1,1,1,1
192,absolve,əb'zɔlv,3067,3076,1,1,3,2,0,0,0,,1,1,1,1,1,1
193,irresolute,i'rezəlu:t,3080,3086,1,1,3,1,0,0,0,,1,1,1,1,1,1
194,resolution,ˌrezə'lu:ʃən,3090,3102,1,1,3,3,0,0,0,,1,1,1,1,1,1
195,solvent,'sɔlvənt,3106,3115,1,1,3,2,0,0,0,,1,1,1,1,1,1
196,absolute,'æbsəlu:t,3119,3128,1,1,3,2,0,0,0,,1,1,1,1,1,1
197,dissolve,di'zɔlv,3132,3141,1,1,3,2,0,0,0,,1,1,1,1,1,1
198,dissoluble,di'sɔljubl,3145,3151,1,1,3,1,0,0,0,,1,1,1,1,1,1
199,dissolute,'disəlju:t,3155,3161,1,1,3,1,0,0,0,,1,1,1,1,1,1
200,dissolution,ˌdisə'lu:ʃən,3165,3177,1,1,3,3,0,0,0,,1,1,1,1,1,1
201,insoluble,in'sɔljubl,3181,3190,1,1,3,2,0,0,0,,1,1,1,1,1,1
202,insolvent,in'sɔlvənt,3194,3203,1,1,3,2,0,0,0,,1,1,1,1,1,1
203,soluble,'sɔljubl,3207,3216,1,1,3,2,0,0,0,,1,1,1,1,1,1
204,solution,sə'lu:ʃən,3220,3229,1,1,3,2,0,0,0,,1,1,1,1,1,1
205,abstemious,əb'sti:miəs,3239,3245,1,1,3,1,0,0,0,,1,1,1,1,1,1
206,dichotomy,dai'kɔtəmi,3249,3255,1,1,3,1,0,0,0,,1,1,1,1,1,1
207,anatomy,ə'nætəmi,3259,3267,1,1,4,1,0,0,0,,1,1,1,1,1,1
208,atomic,ə'tɔmik,3271,3280,1,1,3,2,0,0,0,,1,1,1,1,1,1
209,atomize,'ætəmaiz,3284,3290,1,1,3,1,0,0,0,,1,1,1,1,1,1
210,appendectomy,əˌpen'dektəmi,3294,3300,1,1,3,1,0,0,0,,1,1,1,1,1,1
211,entomology,ˌentə'mɔlədʒi,3304,3310,1,1,3,1,0,0,0,,1,1,1,1,1,1
212,epitome,i'pitəmi,3314,3323,1,1,3,2,0,0,0,,1,1,1,1,1,1
213,epitomize,i'pitəmaiz,3327,3336,1,1,3,2,0,0,0,,1,1,1,1,1,1
214,hysterotomy,ˌhistə'rɔtəmi,3340,3346,1,1,3,1,0,0,0,,1,1,1,1,1,1
215,vasectomy,væ'sektəmi,3350,3356,1,1,3,1,0,0,0,,1,1,1,1,1,1
216,abject,'æbdʒekt,3366,3375,1,1,3,2,0,0,0,,1,1,1,1,1,1
217,adjacent,ə'dʒeisnt,3379,3388,1,1,3,2,0,0,0,,1,1,1,1,1,1
218,conjecture,kən'dʒektʃə(r),3392,3401,1,1,3,2,0,0,0,,1,1,1,1,1,1
219,eject,i:'dʒekt,3405,3414,1,1,3,2,0,0,0,,1,1,1,1,1,1
220,adjective,'ædʒiktiv,3418,3424,1,1,3,1,0,0,0,,1,1,1,1,1,1
221,deject,di'dʒekt,3428,3434,1,1,3,1,0,0,0,,1,1,1,1,1,1
222,dejection,di'dʒekʃən,3438,3444,1,1,3,1,0,0,0,,1,1,1,1,1,1
223,ejaculate,i'dʒækjuleit,3448,3454,1,1,3,1,0,0,0,,1,1,1,1,1,1
224,ejaculation,iˌdʒækju'leiʃən,3458,3464,1,1,3,1,0,0,0,,1,1,1,1,1,1
225,inject,in'dʒekt,3468,3477,1,1,3,2,0,0,0,,1,1,1,1,1,1
226,injection,in'dʒekʃən,3481,3490,1,1,3,2,0,0,0,,1,1,1,1,1,1
227,interject,ˌintə'dʒekt,3494,3500,1,1,3,1,0,0,0,,1,1,1,1,1,1
228,jettison,'dʒetisn,3504,3513,1,1,3,2,0,0,0,,1,1,1,1,1,1
229,jetty,'dʒeti,3517,3523,1,1,3,1,0,0,0,,1,1,1,1,1,1
230,objective,əb'dʒektiv,3527,3536,1,1,3,2,0,0,0,,1,1,1,1,1,1
231,ablution,ə'blu:ʃn,3546,3552,1,1,3,1,0,0,0,,1,1,1,1,1,1
232,deluge,'delju:dʒ,3556,3565,1,1,3,2,0,0,0,,1,1,1,1,1,1
233,alluvial,ə'lu:viəl,3569,3575,1,1,3,1,0,0,0,,1,1,1,1,1,1
234,antediluvian,ˌæntidi'lu:viən,3579,3588,1,1,3,2,0,0,0,,1,1,1,1,1,1
235,dilute,dai'lju:t,3592,3601,1,1,3,2,0,0,0,,1,1,1,1,1,1
236,laundry,'lɔ:ndri,3605,3614,1,1,3,2,0,0,0,,1,1,1,1,1,1
237,launder,'lɔ:ndə(r),3618,3627,1,1,3,2,0,0,0,,1,1,1,1,1,1
238,lava,'lɑ:və,3631,3637,1,1,3,1,0,0,0,,1,1,1,1,1,1
239,lavatory,'lævətəri,3641,3647,1,1,3,1,0,0,0,,1,1,1,1,1,1
240,lave,leiv,3651,3660,1,1,3,2,0,0,0,,1,1,1,1,1,1
241,lavish,'læviʃ,3664,3673,1,1,3,2,0,0,0,,1,1,1,1,1,1
242,undiluted,ˌʌndai'lju:tid,3677,3683,1,1,3,1,0,0,0,,1,1,1,1,1,1
243,abrogate,'æbrəgeit,3693,3699,1,1,3,1,0,0,0,,1,1,1,1,1,1
244,arrogance,'ærəgəns,3703,3709,1,1,3,1,0,0,0,,1,1,1,1,1,1
245,arrogate,'ærəgeit,3713,3719,1,1,3,1,0,0,0,,1,1,1,1,1,1
246,derogatory,di'rɔgətri,3723,3729,1,1,3,1,0,0,0,,1,1,1,1,1,1
247,interrogate,in'terəgeit,3733,3739,1,1,3,1,0,0,0,,1,1,1,1,1,1
248,prerogative,pri'rɔgətiv,3743,3749,1,1,3,1,0,0,0,,1,1,1,1,1,1
249,rogation,rəu'geiʃən,3753,3759,1,1,3,1,0,0,0,,1,1,1,1,1,1
250,rogue,rəug,3763,3772,1,1,3,2,0,0,0,,1,1,1,1,1,1
251,roguish,'rəugiʃ,3776,3782,1,1,3,1,0,0,0,,1,1,1,1,1,1
252,surrogate,'sʌrəgət,3786,3795,1,1,3,2,0,0,0,,1,1,1,1,1,1
253,abstruse,əb'stru:s,3805,3811,1,1,3,1,0,0,0,,1,1,1,1,1,1
254,obtrude,əb'tru:d,3815,3824,1,1,3,2,0,0,0,,1,1,1,1,1,1
255,protrude,prə'tru:d,3828,3834,1,1,3,1,0,0,0,,1,1,1,1,1,1
256,extrude,ik'stru:d,3838,3844,1,1,3,1,0,0,0,,1,1,1,1,1,1
257,intrude,in'tru:d,3848,3863,1,1,3,4,0,0,0,,1,1,1,1,1,1
258,intruder,in'tru:də(r),3867,3873,1,1,3,1,0,0,0,,1,1,1,1,1,1
259,intrusion,in'tru:ʒn,3877,3883,1,1,3,1,0,0,0,,1,1,1,1,1,1
260,thrust,θrʌst,3887,3896,1,1,3,2,0,0,0,,1,1,1,1,1,1
261,avocation,ˌævəu'keiʃn,3906,3912,1,1,3,1,0,0,0,,1,1,1,1,1,1
262,advocate,'ædvəkeit,3916,3925,1,1,3,2,0,0,0,,1,1,1,1,1,1
263,evoke,i'vəuk,3929,3941,1,1,3,3,0,0,0,,1,1,1,1,1,1
264,avowed,ə'vaud,3945,3951,1,1,3,1,0,0,0,,1,1,1,1,1,1
265,disavow,ˌdisə'vau,3955,3961,1,1,3,1,0,0,0,,1,1,1,1,1,1
266,invoke,in'vəuk,3965,3980,1,1,3,4,0,0,0,,1,1,1,1,1,1
267,irrevocable,i'revəkəbl,3984,3990,1,1,3,1,0,0,0,,1,1,1,1,1,1
268,provoke,prə'vəuk,3994,4006,1,1,3,3,0,0,0,,1,1,1,1,1,1
269,revoke,ri'vəuk,4010,4016,1,1,3,1,0,0,0,,1,1,1,1,1,1
270,avouch,ə'vautʃ,4020,4026,1,1,3,1,0,0,0,,1,1,1,1,1,1
271,convoke,kən'vəuk,4030,4036,1,1,3,1,0,0,0,,1,1,1,1,1,1
272,convocation,ˌkɔnvə'keiʃn,4040,4046,1,1,3,1,0,0,0,,1,1,1,1,1,1
273,invoice,'invɔis,4050,4059,1,1,3,2,0,0,0,,1,1,1,1,1,1
274,unvoiced,ʌn'vɔist,4063,4069,1,1,3,1,0,0,0,,1,1,1,1,1,1
275,vocabulary,və'kæbjələri,4073,4085,1,1,3,3,0,0,0,,1,1,1,1,1,1
276,vocal,'vəukl,4089,4098,1,1,3,2,0,0,0,,1,1,1,1,1,1
277,vocational,vəu'keiʃənl,4102,4108,1,1,3,1,0,0,0,,1,1,1,1,1,1
278,vocative,'vɔkətiv,4112,4118,1,1,3,1,0,0,0,,1,1,1,1,1,1
279,vouch,vautʃ,4122,4128,1,1,3,1,0,0,0,,1,1,1,1,1,1
280,voucher,'vautʃə(r),4132,4138,1,1,3,1,0,0,0,,1,1,1,1,1,1
281,vow,vau,4142,4151,1,1,3,2,0,0,0,,1,1,1,1,1,1
282,vowel,'vauəl,4155,4161,1,1,3,1,0,0,0,,1,1,1,1,1,1
283,vox,vɔks,4165,4171,1,1,3,1,0,0,0,,1,1,1,1,1,1
284,aberration,ˌæbə'reiʃn,4181,4187,1,1,4,1,0,0,0,,1,1,1,1,1,1
285,arrant,'ærənt,4191,4197,1,1,3,1,0,0,0,,1,1,1,1,1,1
